City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
321,Les Cayes,HT,18.2,-73.75,76.41,84,11,4.59,few clouds
322,Viersen,DE,51.25,6.3833,65.1,78,75,5.75,broken clouds
323,Avera,US,33.194,-82.5271,67.71,96,4,3.96,clear sky
324,Luau,AO,-10.7073,22.2247,88.14,34,79,7.29,broken clouds
325,Glyadyanskoye,RU,54.9075,65.0883,49.44,38,47,7.61,scattered clouds
326,Deputatskiy,RU,69.3,139.9,12.94,83,45,5.7,scattered clouds
327,Puerto Escondido,MX,15.85,-97.0667,76.12,90,100,4.27,overcast clouds
328,Airai,TL,-8.9266,125.4092,63.97,83,100,0.45,overcast clouds
329,Garmsar,IR,35.2182,52.3409,82.08,29,0,4.07,clear sky
330,Vila,PT,42.0304,-8.1588,59.32,84,100,6.76,overcast clouds
331,Menongue,AO,-14.6585,17.691,95.38,10,0,5.17,clear sky
332,Kawambwa,ZM,-9.7915,29.0791,72.32,66,70,4.85,moderate rain
333,Portsmouth,GB,50.799,-1.0913,60.12,90,100,15.99,light rain
334,Lompoc,US,34.6391,-120.4579,61.52,100,75,4.61,mist
335,Garowe,SO,8.4054,48.4845,92.97,35,53,16.89,broken clouds
336,Prescott Valley,US,34.5894,-112.3252,54.28,55,0,3.71,clear sky
337,Henties Bay,NA,-22.116,14.2845,59.86,74,45,13.33,scattered clouds
338,Kamariotissa,GR,40.4833,25.4667,68.02,53,23,22.68,few clouds
339,Oksfjord,NO,70.2396,22.3479,54.52,82,92,9.57,overcast clouds
340,Piskivka,UA,50.6938,29.6193,59.34,39,5,9.08,clear sky
341,Hofn,IS,64.2539,-15.2082,46.27,80,96,21.07,overcast clouds
342,Syracuse,IT,37.0881,15.2792,78.31,63,30,7.92,scattered clouds
343,Beringovskiy,RU,63.05,179.3167,24.75,75,100,6.06,overcast clouds
344,Hualmay,PE,-11.0964,-77.6139,60.85,87,78,7.83,broken clouds
